=== none / inter / seed42
Epoch 013 | train_loss=0.2369 | train_acc=0.9888 | valid_loss=0.2347 | valid_acc=0.9885 | valid_macro_f1=0.9464 | lr=0.001000
Epoch 014 | train_loss=0.2351 | train_acc=0.9895 | valid_loss=0.2320 | valid_acc=0.9894 | valid_macro_f1=0.9508 | lr=0.001000
Epoch 015 | train_loss=0.2341 | train_acc=0.9900 | valid_loss=0.2363 | valid_acc=0.9878 | valid_macro_f1=0.9386 | lr=0.001000
Epoch 016 | train_loss=0.2328 | train_acc=0.9901 | valid_loss=0.2327 | valid_acc=0.9886 | valid_macro_f1=0.9478 | lr=0.001000
Epoch 017 | train_loss=0.2323 | train_acc=0.9899 | valid_loss=0.2338 | valid_acc=0.9889 | valid_macro_f1=0.9444 | lr=0.000500
Epoch 018 | train_loss=0.2277 | train_acc=0.9916 | valid_loss=0.2272 | valid_acc=0.9904 | valid_macro_f1=0.9570 | lr=0.000500
Epoch 019 | train_loss=0.2259 | train_acc=0.9925 | valid_loss=0.2282 | valid_acc=0.9901 | valid_macro_f1=0.9517 | lr=0.000500
Epoch 020 | train_loss=0.2250 | train_acc=0.9927 | valid_loss=0.2269 | valid_acc=0.9900 | valid_macro_f1=0.9568 | lr=0.000500
Epoch 021 | train_loss=0.2251 | train_acc=0.9924 | valid_loss=0.2259 | valid_acc=0.9907 | valid_macro_f1=0.9555 | lr=0.000250
Epoch 022 | train_loss=0.2226 | train_acc=0.9938 | valid_loss=0.2251 | valid_acc=0.9913 | valid_macro_f1=0.9616 | lr=0.000250
Epoch 023 | train_loss=0.2217 | train_acc=0.9939 | valid_loss=0.2251 | valid_acc=0.9909 | valid_macro_f1=0.9583 | lr=0.000250
Epoch 024 | train_loss=0.2214 | train_acc=0.9941 | valid_loss=0.2255 | valid_acc=0.9907 | valid_macro_f1=0.9580 | lr=0.000250
Epoch 025 | train_loss=0.2204 | train_acc=0.9943 | valid_loss=0.2243 | valid_acc=0.9913 | valid_macro_f1=0.9605 | lr=0.000125
Epoch 026 | train_loss=0.2198 | train_acc=0.9945 | valid_loss=0.2234 | valid_acc=0.9917 | valid_macro_f1=0.9625 | lr=0.000125
Epoch 027 | train_loss=0.2197 | train_acc=0.9945 | valid_loss=0.2244 | valid_acc=0.9912 | valid_macro_f1=0.9606 | lr=0.000125
Epoch 028 | train_loss=0.2192 | train_acc=0.9949 | valid_loss=0.2237 | valid_acc=0.9917 | valid_macro_f1=0.9629 | lr=0.000125
Epoch 029 | train_loss=0.2190 | train_acc=0.9948 | valid_loss=0.2234 | valid_acc=0.9916 | valid_macro_f1=0.9612 | lr=0.000125
Epoch 030 | train_loss=0.2185 | train_acc=0.9949 | valid_loss=0.2233 | valid_acc=0.9917 | valid_macro_f1=0.9618 | lr=0.000125
Epoch 031 | train_loss=0.2183 | train_acc=0.9948 | valid_loss=0.2237 | valid_acc=0.9916 | valid_macro_f1=0.9616 | lr=0.000063
Epoch 032 | train_loss=0.2178 | train_acc=0.9952 | valid_loss=0.2232 | valid_acc=0.9918 | valid_macro_f1=0.9632 | lr=0.000063
Epoch 033 | train_loss=0.2173 | train_acc=0.9951 | valid_loss=0.2231 | valid_acc=0.9917 | valid_macro_f1=0.9614 | lr=0.000063
Epoch 034 | train_loss=0.2173 | train_acc=0.9952 | valid_loss=0.2227 | valid_acc=0.9919 | valid_macro_f1=0.9639 | lr=0.000063
Epoch 035 | train_loss=0.2172 | train_acc=0.9954 | valid_loss=0.2230 | valid_acc=0.9913 | valid_macro_f1=0.9605 | lr=0.000063
Epoch 036 | train_loss=0.2176 | train_acc=0.9950 | valid_loss=0.2226 | valid_acc=0.9921 | valid_macro_f1=0.9645 | lr=0.000063
Epoch 037 | train_loss=0.2176 | train_acc=0.9951 | valid_loss=0.2230 | valid_acc=0.9919 | valid_macro_f1=0.9643 | lr=0.000063
Epoch 038 | train_loss=0.2164 | train_acc=0.9958 | valid_loss=0.2229 | valid_acc=0.9916 | valid_macro_f1=0.9627 | lr=0.000063
Epoch 039 | train_loss=0.2165 | train_acc=0.9957 | valid_loss=0.2228 | valid_acc=0.9917 | valid_macro_f1=0.9615 | lr=0.000031
Epoch 040 | train_loss=0.2164 | train_acc=0.9956 | valid_loss=0.2226 | valid_acc=0.9919 | valid_macro_f1=0.9620 | lr=0.000031
Epoch 041 | train_loss=0.2166 | train_acc=0.9955 | valid_loss=0.2226 | valid_acc=0.9919 | valid_macro_f1=0.9633 | lr=0.000031
Epoch 042 | train_loss=0.2162 | train_acc=0.9957 | valid_loss=0.2227 | valid_acc=0.9921 | valid_macro_f1=0.9639 | lr=0.000016
Epoch 043 | train_loss=0.2159 | train_acc=0.9958 | valid_loss=0.2227 | valid_acc=0.9919 | valid_macro_f1=0.9627 | lr=0.000016
Epoch 044 | train_loss=0.2162 | train_acc=0.9955 | valid_loss=0.2224 | valid_acc=0.9919 | valid_macro_f1=0.9629 | lr=0.000016
Epoch 045 | train_loss=0.2159 | train_acc=0.9957 | valid_loss=0.2223 | valid_acc=0.9924 | valid_macro_f1=0.9645 | lr=0.000008
Epoch 046 | train_loss=0.2156 | train_acc=0.9961 | valid_loss=0.2224 | valid_acc=0.9922 | valid_macro_f1=0.9641 | lr=0.000008
Epoch 047 | train_loss=0.2156 | train_acc=0.9959 | valid_loss=0.2225 | valid_acc=0.9922 | valid_macro_f1=0.9639 | lr=0.000008
Epoch 048 | train_loss=0.2157 | train_acc=0.9959 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9633 | lr=0.000004
Epoch 049 | train_loss=0.2156 | train_acc=0.9960 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9637 | lr=0.000004
Epoch 050 | train_loss=0.2159 | train_acc=0.9960 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9636 | lr=0.000004
Epoch 051 | train_loss=0.2154 | train_acc=0.9961 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9638 | lr=0.000002
Epoch 052 | train_loss=0.2159 | train_acc=0.9958 | valid_loss=0.2224 | valid_acc=0.9920 | valid_macro_f1=0.9633 | lr=0.000002
Epoch 053 | train_loss=0.2158 | train_acc=0.9957 | valid_loss=0.2223 | valid_acc=0.9920 | valid_macro_f1=0.9634 | lr=0.000002
Epoch 054 | train_loss=0.2157 | train_acc=0.9957 | valid_loss=0.2224 | valid_acc=0.9920 | valid_macro_f1=0.9631 | lr=0.000001
Epoch 055 | train_loss=0.2164 | train_acc=0.9955 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9641 | lr=0.000001
Epoch 056 | train_loss=0.2160 | train_acc=0.9959 | valid_loss=0.2224 | valid_acc=0.9920 | valid_macro_f1=0.9633 | lr=0.000001
Epoch 057 | train_loss=0.2157 | train_acc=0.9958 | valid_loss=0.2224 | valid_acc=0.9921 | valid_macro_f1=0.9636 | lr=0.000000
Epoch 058 | train_loss=0.2161 | train_acc=0.9956 | valid_loss=0.2224 | valid_acc=0.9919 | valid_macro_f1=0.9628 | lr=0.000000
Epoch 059 | train_loss=0.2157 | train_acc=0.9958 | valid_loss=0.2223 | valid_acc=0.9917 | valid_macro_f1=0.9615 | lr=0.000000
Epoch 060 | train_loss=0.2158 | train_acc=0.9959 | valid_loss=0.2223 | valid_acc=0.9919 | valid_macro_f1=0.9630 | lr=0.000000
Early stopping triggered at epoch 60.
Training complete | run=intra-none-lossweight0-seed42 | best_epoch=45 | best_valid_macro_f1=0.9645 | test_accuracy=0.9913 | test_macro_f1=0.9241 | final_epoch=60 | final_test_macro_f1=0.9236
=== none / intra / seed43
Epoch 001 | train_loss=0.3785 | train_acc=0.9484 | valid_loss=0.2874 | valid_acc=0.9703 | valid_macro_f1=0.8534 | lr=0.001000
Epoch 002 | train_loss=0.2973 | train_acc=0.9709 | valid_loss=0.2699 | valid_acc=0.9757 | valid_macro_f1=0.8809 | lr=0.001000
Epoch 003 | train_loss=0.2743 | train_acc=0.9770 | valid_loss=0.2647 | valid_acc=0.9770 | valid_macro_f1=0.8983 | lr=0.001000
Epoch 004 | train_loss=0.2632 | train_acc=0.9805 | valid_loss=0.2542 | valid_acc=0.9814 | valid_macro_f1=0.9044 | lr=0.001000
Epoch 005 | train_loss=0.2554 | train_acc=0.9835 | valid_loss=0.2465 | valid_acc=0.9839 | valid_macro_f1=0.9233 | lr=0.001000
Epoch 006 | train_loss=0.2508 | train_acc=0.9849 | valid_loss=0.2422 | valid_acc=0.9860 | valid_macro_f1=0.9256 | lr=0.001000
Epoch 007 | train_loss=0.2475 | train_acc=0.9856 | valid_loss=0.2354 | valid_acc=0.9884 | valid_macro_f1=0.9421 | lr=0.001000
Epoch 008 | train_loss=0.2453 | train_acc=0.9864 | valid_loss=0.2355 | valid_acc=0.9877 | valid_macro_f1=0.9390 | lr=0.001000
Epoch 009 | train_loss=0.2410 | train_acc=0.9880 | valid_loss=0.2364 | valid_acc=0.9867 | valid_macro_f1=0.9368 | lr=0.001000
Epoch 010 | train_loss=0.2409 | train_acc=0.9877 | valid_loss=0.2380 | valid_acc=0.9870 | valid_macro_f1=0.9417 | lr=0.000500
Epoch 011 | train_loss=0.2346 | train_acc=0.9898 | valid_loss=0.2299 | valid_acc=0.9891 | valid_macro_f1=0.9482 | lr=0.000500
Epoch 012 | train_loss=0.2325 | train_acc=0.9907 | valid_loss=0.2288 | valid_acc=0.9893 | valid_macro_f1=0.9507 | lr=0.000500
Epoch 013 | train_loss=0.2322 | train_acc=0.9905 | valid_loss=0.2256 | valid_acc=0.9901 | valid_macro_f1=0.9545 | lr=0.000500
Epoch 014 | train_loss=0.2318 | train_acc=0.9905 | valid_loss=0.2262 | valid_acc=0.9904 | valid_macro_f1=0.9528 | lr=0.000500
Epoch 015 | train_loss=0.2309 | train_acc=0.9909 | valid_loss=0.2267 | valid_acc=0.9900 | valid_macro_f1=0.9541 | lr=0.000500
Epoch 016 | train_loss=0.2293 | train_acc=0.9914 | valid_loss=0.2274 | valid_acc=0.9902 | valid_macro_f1=0.9554 | lr=0.000500
Epoch 017 | train_loss=0.2295 | train_acc=0.9913 | valid_loss=0.2262 | valid_acc=0.9903 | valid_macro_f1=0.9560 | lr=0.000500
Epoch 018 | train_loss=0.2293 | train_acc=0.9910 | valid_loss=0.2274 | valid_acc=0.9901 | valid_macro_f1=0.9553 | lr=0.000500
Epoch 019 | train_loss=0.2287 | train_acc=0.9913 | valid_loss=0.2243 | valid_acc=0.9919 | valid_macro_f1=0.9658 | lr=0.000500
Epoch 020 | train_loss=0.2278 | train_acc=0.9915 | valid_loss=0.2275 | valid_acc=0.9900 | valid_macro_f1=0.9540 | lr=0.000500
Epoch 021 | train_loss=0.2263 | train_acc=0.9921 | valid_loss=0.2236 | valid_acc=0.9916 | valid_macro_f1=0.9630 | lr=0.000500
Epoch 022 | train_loss=0.2260 | train_acc=0.9924 | valid_loss=0.2251 | valid_acc=0.9913 | valid_macro_f1=0.9592 | lr=0.000250
Epoch 023 | train_loss=0.2233 | train_acc=0.9931 | valid_loss=0.2239 | valid_acc=0.9917 | valid_macro_f1=0.9630 | lr=0.000250
Epoch 024 | train_loss=0.2226 | train_acc=0.9933 | valid_loss=0.2239 | valid_acc=0.9914 | valid_macro_f1=0.9647 | lr=0.000250
Epoch 025 | train_loss=0.2218 | train_acc=0.9939 | valid_loss=0.2225 | valid_acc=0.9919 | valid_macro_f1=0.9661 | lr=0.000250
Epoch 026 | train_loss=0.2213 | train_acc=0.9940 | valid_loss=0.2218 | valid_acc=0.9922 | valid_macro_f1=0.9672 | lr=0.000250
Epoch 027 | train_loss=0.2212 | train_acc=0.9940 | valid_loss=0.2238 | valid_acc=0.9914 | valid_macro_f1=0.9619 | lr=0.000250
Epoch 028 | train_loss=0.2213 | train_acc=0.9936 | valid_loss=0.2232 | valid_acc=0.9919 | valid_macro_f1=0.9652 | lr=0.000250
